Altium Designer Pick and Place Locations
C:\Users\byrne\AppData\Local\TempReleases\Snapshot\1\Assembly\Pick Place\Pick Place for pai.txt

========================================================================================================================
File Design Information:

Date:       09/10/18
Time:       07:15
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Center-X(mil) Center-Y(mil) Comment             Description                                                                                            Designator Footprint       Layer       Rotation 
1910.000      -160.000      1µF                 "CAP CER 1UF 25V X7R 0603"                                                                             C14        SMD-0603C       TopLayer    90       
500.000       -170.000      1µF                 "CAP CER 1UF 25V X7R 0603"                                                                             C13        SMD-0603C       TopLayer    180      
150.000       -1450.000     STEREO_JACK         "CONN JACK STEREO 6.35MM PNL MNT"                                                                      J3         STEREO_JACK_HDR TopLayer    90       
800.000       -318.425      CAP-POL             "CAP ALUM 10UF 20% 25V RADIAL"                                                                         C6         CAP_TH_5X12_L5  TopLayer    90       
1075.000      -671.575      CAP-POL             "CAP ALUM 220UF 20% 35V THRU HOLE"                                                                     C1         CAP_TH_10X14_L5 TopLayer    270      
300.000       -990.000      UA741CP             "General-Purpose Operational Amplifier, 7 to 36 V, 0 to 70 degC, 8-pin DIP (P8), Pb-Free (RoHS)"       U3         TI-P8           TopLayer    90       
1640.000      -320.000      RC4558P             "Dual General-Purpose Operational Amplifier, 10 to 30 V, 0 to 70 degC, 8-pin DIP (P8), Pb-Free (RoHS)" U2         TI-P8           TopLayer    360      
300.000       -440.000      UA741CP             "General-Purpose Operational Amplifier, 7 to 36 V, 0 to 70 degC, 8-pin DIP (P8), Pb-Free (RoHS)"       U1         TI-P8           TopLayer    270      
1075.000      -1450.000     3PDT_SW_SOLDERBOARD ""                                                                                                     SW1        3PDT_HDR        TopLayer    90       
438.000       -1269.515     470k                "RES SMD 470K OHM 5% 1/10W 0603"                                                                       R23        SMD-0603-RES    TopLayer    180      
1610.000      -849.488      5.23k               "RES SMD 5.23K OHM 1% 1/10W 0603"                                                                      R22        SMD-0603-RES    TopLayer    180      
220.000       -1270.000     8.2k                "RES SMD 8.2K OHM 5% 1/10W 0603"                                                                       R19        SMD-0603-RES    TopLayer    180      
600.000       -520.000      POT                 "Potentiometer, 1k, Linear Taper, Trim, Single Gang, Surface Mount"                                    R18        POT_TT35W       TopLayer    90       
1820.000      -849.488      1.2k                "RES SMD 1.2K OHM 5% 1/10W 0603"                                                                       R17        SMD-0603-RES    TopLayer    360      
45.000        -1148.000     1M                  "RES SMD 1M OHM 5% 1/10W 0603"                                                                         R16        SMD-0603-RES    TopLayer    180      
1250.000      -1274.998     1.2k                "RES SMD 1.2K OHM 5% 1/10W 0603"                                                                       R15        SMD-0603-RES    TopLayer    90       
47.000        -924.512      820k                "RES SMD 820K OHM 5% 1/10W 0603"                                                                       R14        SMD-0603-RES    TopLayer    180      
